genome,Kingdom,Phylum,Class,Order,Family,Genus,Species
GCA_025150245.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea formicigenerans
GCF_014131695.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Thomasclavelia ramosa
GCF_016642265.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lactarius
GCF_001436035.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,Fructilactobacillus sanfranciscensis
GCF_000191405.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Pasteurellaceae,Haemophilus_D,Haemophilus_D parainfluenzae
GCF_000722765.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis_AQ
GCF_000025985.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
GCA_905369855.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis_BN
GCF_001579045.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis_D
GCF_000332875.2,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus
GCF_023336935.1,Bacteria,Bacillota_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,CAG-266,CAG-266 sp000436095
GCF_000011065.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron
GCF_000239295.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii
GCF_000012825.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus
GCA_010604095.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp000187445
GCF_000269965.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium infantis
GCF_901875305.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,Rothia sp902373285
GCF_000196555.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
GCF_001314995.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus
GCA_900755095.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900755095
GCF_000210075.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens
GCF_000012845.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis
GCA_025147485.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
GCA_900550455.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella sp900550455
GCF_002222615.2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
GCA_934754925.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp934754925
GCF_024499055.1,Bacteria,Bacillota,Bacilli,Haloplasmatales,Turicibacteraceae,Turicibacter,Turicibacter bilis
GCA_900557165.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter sp900557165
GCF_900106845.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,Romboutsia timonensis
GCA_002314325.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale_A
GCF_018847375.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila_B
GCF_003030305.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
GCF_000265365.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii
GCF_000190535.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter splanchnicus
GCA_025151215.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae
GCF_000187585.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus peroris
GCF_001025175.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve
GCA_900540255.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp900540255
GCA_000435835.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp000435835
GCF_001458595.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium neonatale
GCF_001438845.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus xiangfangensis
GCF_000577815.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium saudiense
GCA_905206195.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia sp905206195
GCF_012317185.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Clostridium_AQ,Clostridium_AQ innocuum
GCA_025148965.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Intestinibacter,Intestinibacter bartlettii
GCF_000158195.2,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium_A,Fusobacterium_A mortiferum
GCA_018371275.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,CAG-274,Tyzzerella,Tyzzerella sp018371275
GCA_944392755.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,Sutterella,Sutterella sp944392755
GCF_016466415.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii
GCF_015667935.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Intestinibacter,Intestinibacter sp900540355
GCA_902373375.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella sp902373375
GCF_014287815.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp001916075
GCF_013046825.1,Bacteria,Bacillota,Bacilli,Haloplasmatales,Turicibacteraceae,Turicibacter,Turicibacter sanguinis
GCF_000013285.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Sarcina,Sarcina perfringens
GCF_900106785.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Alloprevotella,Alloprevotella timonensis
GCA_021619875.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella copri_D
GCF_015074785.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp015074785
GCF_002265625.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002265625
GCF_000010425.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis
GCF_023347275.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium sp900758465
GCA_900546575.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900546575
GCA_022722495.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister sp022722495
GCA_900539255.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter_D sp900539255
GCF_000235885.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella stercorea
GCA_000020605.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis
GCA_000432435.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Fimenecus,Fimenecus sp000432435
GCA_902362875.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp900066705
GCF_000174195.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
GCA_022732315.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp022732315
GCF_000173975.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii
GCA_900548745.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900548745
GCF_010509575.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium duncaniae
GCF_004535825.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella hominis
GCA_001312505.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter faecis
GCA_900554275.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp900554275
GCA_000438155.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95,CAG-95 sp000438155
GCA_900543975.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900543975
GCA_905215045.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp905215045
GCF_023347255.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_D
GCF_018918025.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4,ER4 sp900317525
GCA_003539495.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp003539495
GCA_900543625.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-103,CAG-103 sp900543625
GCA_022009815.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Limisoma,Limisoma sp000437795
GCA_900550205.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp900550205
GCA_004556705.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Fimenecus,Fimenecus sp004556705
GCA_900553155.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900553155
GCA_900554905.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp900554905
GCA_900547385.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,Angelakisella sp900547385
GCA_000432515.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp000432515
GCA_900539695.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger sp900539695
GCA_000436915.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000436915
GCA_000435555.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp000435555
GCA_000433635.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_C,Ruminococcus_C sp000433635
GCA_000434735.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp000434735
GCF_024168045.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea_A,Dorea_A longicatena_B
GCA_900553595.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900553595
GCA_900767495.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,UBA10281,UBA10281 sp900767495
GCA_900542875.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,Eubacterium_R sp900542875
GCF_000188175.1,Bacteria,Bacillota_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium_A,Phascolarctobacterium_A succinatutens
GCA_900546925.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp900546925
GCA_025147765.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A obeum
GCA_004556345.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Evtepia,Evtepia sp004556345
GCA_003258735.1,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Zag111,Zag111 sp003258735
GCA_002404795.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-170,CAG-170 sp002404795
GCA_934574045.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,Oscillibacter sp934574045
GCF_000765235.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4,ER4 sp000765235
GCA_003522945.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA738,UBA738 sp003522945
GCA_009827235.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter infans
GCA_003487665.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp003487665
GCF_014297285.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter sp001916835
GCA_900552015.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4,ER4 sp900552015
GCA_934203205.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,Anaerovibrio sp934203205
GCF_003966955.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,Parolsenella catena
GCA_003096535.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum butyriciproducens
GCA_025145285.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii
GCF_003416765.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Paratractidigestivibacter,Paratractidigestivibacter faecalis
GCA_900539755.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes_A,Alistipes_A sp900539755
GCA_900552845.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,Angelakisella sp900552845
GCA_934371505.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,UMGS2037,UMGS2037 sp934371505
GCF_014337155.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Wujia,Wujia chipingensis
GCA_900544285.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-272,CAG-841,CAG-841 sp900544285
GCF_900167555.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger formicilis
GCA_014858325.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium sp014858325
GCF_014287875.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp014287875
GCA_934167445.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp014846485
GCA_000436335.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-217,CAG-217 sp000436335
GCF_003287495.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_I
GCA_900552475.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp900552475
GCA_900544255.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,Duodenibacillus,Duodenibacillus sp900544255
GCA_900542245.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-238,CAG-238 sp900542245
GCA_000435175.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-245,CAG-245 sp000435175
GCF_018918345.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus_A,Butyricicoccus_A intestinisimiae
GCA_003514385.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385
GCA_934121905.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp934121905
GCA_900764105.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,UBA10281,UBA10281 sp900764105
GCF_003991565.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas faecalis
GCA_934621665.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-170,CAG-170 sp934621665
GCA_905205195.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp900762935
GCA_019410105.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,DXTB01,DXTB01 sp019410105
GCA_934486705.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,UBA737 sp934486705
GCA_021029595.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1417,UBA1417 sp003531055
GCA_025150425.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E,Ruminiclostridium_E siraeum
GCA_900546315.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-272,Flemingibacterium,Flemingibacterium sp900546315
GCA_934444485.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-382,CAKSUT01,CAKSUT01 sp934444485
GCF_000156375.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger
GCA_934182465.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,Scatovivens,Scatovivens sp934182465
GCA_003480725.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Choladocola,Choladocola sp003480725
GCA_934294775.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea_A,Dorea_A sp934294775
GCA_900550685.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter sp900550685
GCF_005121165.3,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis
GCA_900549755.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,UBA737 sp900549755
GCA_003584705.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,Acetatifactor sp900066565
GCF_003024685.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Faecalibacillus,Faecalibacillus intestinalis
GCF_003865035.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum faecicola
GCA_003525905.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp003525905
GCF_018918155.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp018918155
GCA_900763995.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp900763995
GCA_905215425.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp905215425
GCF_000187895.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius
GCA_018228645.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Choladocola,Choladocola sp003481535
GCA_900550295.1,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,UBA6984,UBA6984 sp900550295
GCA_916988195.3,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-170,CAG-170 sp900549635
GCA_934481355.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-115,CAG-115 sp934481355
GCF_003435815.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-317,CAG-317 sp000433215
GCA_900542115.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter sp900542115
GCA_900544105.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter sp900544105
GCA_900550635.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA6398,UBA6398 sp900550635
GCA_934444735.1,Bacteria,Bacillota_A,Clostridia,UBA1381,UBA1381,CAKSFT01,CAKSFT01 sp934444735
GCF_018784445.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger sp900540775
GCF_019734885.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus_A,Coprococcus_A catus
GCF_018326305.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas fastidiosa
GCA_900754805.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-238,CAG-238 sp900754805
GCF_000236865.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Senegalimassilia,Senegalimassilia anaerobia
GCA_900545865.1,Bacteria,Bacillota_A,Clostridia,Monoglobales,Monoglobaceae,UMGS1820,UMGS1820 sp900545865
GCA_022009675.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-272,CAG-448,CAG-448 sp003150135
GCA_022779845.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Succinivibrionaceae,Succinivibrio,Succinivibrio sp022779845
GCA_022775115.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum sp022775115
GCA_900556935.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp900556935
GCA_900552455.1,Bacteria,Bacillota_B,Peptococcia,Peptococcales,Peptococcaceae,UMGS1590,UMGS1590 sp900552455
GCA_934454145.1,Bacteria,Bacillota_A,Clostridia,UBA1381,UBA1381,CAKSFT01,CAKSFT01 sp934454145
GCA_900757905.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-382,UMGS882,UMGS882 sp900757905
GCF_000225345.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia hominis
GCA_900542935.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,UBA7597,UBA7597 sp900542935
